date,product_id,product_name,category,sales_quantity,price,stock_quantity,promo,holiday,supplier_delay_days,product_icon,base_demand,seasonality_type,shelf_life_days,supplier_name,region
2024-05-01,1,Рис довгозернистий 1 кг,Бакалія,23,68.41,251,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-02,1,Рис довгозернистий 1 кг,Бакалія,26,68.71,225,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-03,1,Рис довгозернистий 1 кг,Бакалія,22,68.51,203,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-04,1,Рис довгозернистий 1 кг,Бакалія,22,69.4,181,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-05,1,Рис довгозернистий 1 кг,Бакалія,24,68.53,157,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-06,1,Рис довгозернистий 1 кг,Бакалія,25,68.89,132,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-07,1,Рис довгозернистий 1 кг,Бакалія,22,68.61,330,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-08,1,Рис довгозернистий 1 кг,Бакалія,21,68.1,309,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-09,1,Рис довгозернистий 1 кг,Бакалія,23,68.22,286,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-10,1,Рис довгозернистий 1 кг,Бакалія,22,69.1,264,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-11,1,Рис довгозернистий 1 кг,Бакалія,25,69.41,239,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-12,1,Рис довгозернистий 1 кг,Бакалія,28,68.13,211,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-13,1,Рис довгозернистий 1 кг,Бакалія,25,68.11,186,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-14,1,Рис довгозернистий 1 кг,Бакалія,25,69.32,351,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-15,1,Рис довгозернистий 1 кг,Бакалія,23,68.85,328,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-16,1,Рис довгозернистий 1 кг,Бакалія,28,68.28,300,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-17,1,Рис довгозернистий 1 кг,Бакалія,22,69.27,278,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-18,1,Рис довгозернистий 1 кг,Бакалія,25,69.02,253,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-19,1,Рис довгозернистий 1 кг,Бакалія,21,68.86,232,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-20,1,Рис довгозернистий 1 кг,Бакалія,22,68.58,210,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-21,1,Рис довгозернистий 1 кг,Бакалія,23,69.22,413,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-22,1,Рис довгозернистий 1 кг,Бакалія,21,68.39,392,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-23,1,Рис довгозернистий 1 кг,Бакалія,21,68.93,371,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-24,1,Рис довгозернистий 1 кг,Бакалія,19,68.39,352,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-25,1,Рис довгозернистий 1 кг,Бакалія,23,69.35,329,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-26,1,Рис довгозернистий 1 кг,Бакалія,25,68.27,304,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-27,1,Рис довгозернистий 1 кг,Бакалія,25,68.86,279,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-28,1,Рис довгозернистий 1 кг,Бакалія,21,69.42,430,0,0,2,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-29,1,Рис довгозернистий 1 кг,Бакалія,25,68.88,405,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-30,1,Рис довгозернистий 1 кг,Бакалія,25,68.33,380,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-05-31,1,Рис довгозернистий 1 кг,Бакалія,21,69.44,359,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-01,1,Рис довгозернистий 1 кг,Бакалія,24,69.06,335,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-02,1,Рис довгозернистий 1 кг,Бакалія,18,69.5,317,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-03,1,Рис довгозернистий 1 кг,Бакалія,24,69.64,293,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-04,1,Рис довгозернистий 1 кг,Бакалія,24,69.85,461,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-05,1,Рис довгозернистий 1 кг,Бакалія,24,68.64,437,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-06,1,Рис довгозернистий 1 кг,Бакалія,23,69.2,414,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-07,1,Рис довгозернистий 1 кг,Бакалія,22,69.04,392,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-08,1,Рис довгозернистий 1 кг,Бакалія,24,68.63,368,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-09,1,Рис довгозернистий 1 кг,Бакалія,24,69.12,344,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-10,1,Рис довгозернистий 1 кг,Бакалія,23,69.69,321,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-11,1,Рис довгозернистий 1 кг,Бакалія,27,68.65,474,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-12,1,Рис довгозернистий 1 кг,Бакалія,25,68.84,449,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-13,1,Рис довгозернистий 1 кг,Бакалія,25,69.1,424,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-14,1,Рис довгозернистий 1 кг,Бакалія,21,69.31,403,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-15,1,Рис довгозернистий 1 кг,Бакалія,25,69.32,378,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-16,1,Рис довгозернистий 1 кг,Бакалія,28,69.91,350,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-17,1,Рис довгозернистий 1 кг,Бакалія,19,68.76,331,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-18,1,Рис довгозернистий 1 кг,Бакалія,22,69.58,560,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
